Issue Type,Issue key,Issue id,Created,Status,Custom field (Change Source),Custom field (Story Points)
Story,ST-1541,71761,22/Feb/22 1:35 PM,Done,,1.0
Story,ST-1535,71564,18/Feb/22 9:04 PM,Done,,2.0
Story,ST-1534,71545,18/Feb/22 2:57 PM,Done,,3.0
Story,ST-1523,71403,17/Feb/22 3:01 PM,Done,,3.0
Story,ST-1518,70826,14/Feb/22 11:38 AM,Done,,5.0
Story,ST-1517,70820,14/Feb/22 11:11 AM,Done,,1.0
Story,ST-1505,70284,09/Feb/22 10:55 AM,Done,,1.0
Story,ST-1502,70009,08/Feb/22 9:31 AM,Done,,5.0
Story,ST-1501,70008,08/Feb/22 9:30 AM,Done,,5.0
Story,ST-1491,69717,04/Feb/22 10:28 AM,Done,,1.0
Story,ST-1448,69356,01/Feb/22 4:26 PM,Done,,1.0
Story,ST-1437,68840,27/Jan/22 10:24 AM,Done,,2.0
Story,ST-1434,68819,27/Jan/22 8:53 AM,Done,,3.0
Story,ST-1397,67930,20/Jan/22 9:14 AM,Done,,2.0
Story,ST-1395,67818,19/Jan/22 1:57 PM,Done,,1.0
Story,ST-1393,67600,18/Jan/22 1:48 PM,Done,,1.0
Story,ST-1392,67599,18/Jan/22 1:48 PM,Done,,1.0
Story,ST-1391,67597,18/Jan/22 1:42 PM,Done,,3.0
Story,ST-1390,67596,18/Jan/22 1:42 PM,Done,,1.0
Story,ST-1389,67595,18/Jan/22 1:42 PM,Done,,2.0
Story,ST-1388,67300,14/Jan/22 1:14 PM,Done,,2.0
Story,ST-1387,67287,14/Jan/22 11:28 AM,Done,,1.0
Story,ST-1386,67286,14/Jan/22 11:27 AM,Done,,1.0
Story,ST-1383,67282,14/Jan/22 11:19 AM,Done,,
Story,ST-1377,67267,14/Jan/22 10:07 AM,Done,,2.0
Story,ST-1362,67172,13/Jan/22 2:13 PM,Done,,2.0
Story,ST-1357,66990,12/Jan/22 11:32 AM,Done,,3.0
Story,ST-1356,66857,11/Jan/22 2:29 PM,Done,,2.0
Story,ST-1355,66856,11/Jan/22 2:29 PM,Done,,1.0
Story,ST-1354,66855,11/Jan/22 2:28 PM,Done,,1.0
Story,ST-1353,66854,11/Jan/22 2:28 PM,Done,,2.0
Story,ST-1352,66853,11/Jan/22 2:26 PM,Done,,2.0
Story,ST-1351,66852,11/Jan/22 2:26 PM,Done,,2.0
Story,ST-1350,66851,11/Jan/22 2:26 PM,Done,,2.0
Story,ST-1349,66850,11/Jan/22 2:23 PM,Done,,2.0
Story,ST-1328,65684,05/Jan/22 1:56 PM,Done,,3.0
Story,ST-1327,65683,05/Jan/22 1:55 PM,Done,,2.0
Story,ST-1306,65584,05/Jan/22 9:42 AM,Done,,5.0
Story,ST-1301,65469,04/Jan/22 10:25 AM,Done,,2.0
Story,ST-1300,65399,31/Dec/21 7:01 AM,Done,,5.0
Story,ST-1288,64270,14/Dec/21 8:50 AM,Done,,2.0
Story,ST-1267,63935,10/Dec/21 8:40 AM,Done,,2.0
Story,ST-1261,63501,07/Dec/21 1:46 PM,Done,,1.0
Story,ST-1255,63168,03/Dec/21 4:32 PM,Done,,3.0
Story,ST-1244,62728,30/Nov/21 3:05 PM,Done,,3.0
Story,ST-1242,62558,29/Nov/21 11:00 AM,Done,,3.0
Story,ST-1240,62550,29/Nov/21 10:53 AM,Done,,5.0
Story,ST-1238,62547,29/Nov/21 10:48 AM,Done,,3.0
Story,ST-1231,62177,23/Nov/21 1:07 PM,Done,,5.0
Story,ST-1230,61761,19/Nov/21 10:35 AM,Done,,5.0
Story,ST-1220,61714,19/Nov/21 7:01 AM,Done,,5.0
Story,ST-1212,60973,12/Nov/21 9:57 AM,Done,,5.0
Story,ST-1202,60537,10/Nov/21 3:20 PM,Done,,2.0
Story,ST-1199,60318,09/Nov/21 5:07 PM,Done,,3.0
Story,ST-1161,58224,25/Oct/21 11:30 AM,Done,,1.0
